"scope","axis","label","count","share"
"full_core","功能用途","展示","923","36.1%"
"full_core","功能用途","记录","661","25.9%"
"full_core","功能用途","数据","432","16.9%"
"full_core","功能用途","解释","310","12.1%"
"full_core","功能用途","未标注","143","5.6%"
"full_core","功能用途","传播","83","3.2%"
"full_core","功能用途","不确定","2","0.1%"
"full_core","技术手段","渲染","929","36.4%"
"full_core","技术手段","拍摄","684","26.8%"
"full_core","技术手段","绘设","537","21.0%"
"full_core","技术手段","成像","303","11.9%"
"full_core","技术手段","数据","101","4.0%"
"full_core","内容对象","科普传播","1838","72.0%"
"full_core","内容对象","机制模型","158","6.2%"
"full_core","内容对象","团队场景","123","4.8%"
"full_core","内容对象","实验设备","114","4.5%"
"full_core","内容对象","数据结果","83","3.2%"
"full_core","内容对象","科研人员","60","2.3%"
"full_core","内容对象","微观样本","44","1.7%"
"full_core","内容对象","空间环境","42","1.6%"
"full_core","内容对象","单人肖像","35","1.4%"
"full_core","内容对象","实验过程","30","1.2%"
"full_core","内容对象","群体肖像","25","1.0%"
"full_core","内容对象","不确定","2","0.1%"
"full_core","学科","综合交叉","542","21.2%"
"full_core","学科","生命科学","525","20.6%"
"full_core","学科","物理","439","17.2%"
"full_core","学科","材料","415","16.2%"
"full_core","学科","信息科学","297","11.6%"
"full_core","学科","化学","151","5.9%"
"full_core","学科","工程","114","4.5%"
"full_core","学科","医学","30","1.2%"
"full_core","学科","环境科学","21","0.8%"
"full_core","学科","综合科研","20","0.8%"
"minimum_balanced_core","功能用途","记录","96","36.9%"
"minimum_balanced_core","功能用途","未标注","61","23.5%"
"minimum_balanced_core","功能用途","数据","39","15.0%"
"minimum_balanced_core","功能用途","解释","33","12.7%"
"minimum_balanced_core","功能用途","传播","18","6.9%"
"minimum_balanced_core","功能用途","展示","13","5.0%"
"minimum_balanced_core","技术手段","拍摄","123","47.3%"
"minimum_balanced_core","技术手段","绘设","62","23.8%"
"minimum_balanced_core","技术手段","数据","38","14.6%"
"minimum_balanced_core","技术手段","渲染","24","9.2%"
"minimum_balanced_core","技术手段","成像","13","5.0%"
"minimum_balanced_core","内容对象","机制模型","49","18.8%"
"minimum_balanced_core","内容对象","数据结果","41","15.8%"
"minimum_balanced_core","内容对象","团队场景","41","15.8%"
"minimum_balanced_core","内容对象","科研人员","32","12.3%"
"minimum_balanced_core","内容对象","科普传播","27","10.4%"
"minimum_balanced_core","内容对象","实验设备","17","6.5%"
"minimum_balanced_core","内容对象","微观样本","15","5.8%"
"minimum_balanced_core","内容对象","空间环境","13","5.0%"
"minimum_balanced_core","内容对象","群体肖像","13","5.0%"
"minimum_balanced_core","内容对象","单人肖像","7","2.7%"
"minimum_balanced_core","内容对象","实验过程","5","1.9%"
"minimum_balanced_core","学科","综合交叉","83","31.9%"
"minimum_balanced_core","学科","物理","43","16.5%"
"minimum_balanced_core","学科","生命科学","42","16.2%"
"minimum_balanced_core","学科","工程","26","10.0%"
"minimum_balanced_core","学科","综合科研","19","7.3%"
"minimum_balanced_core","学科","信息科学","17","6.5%"
"minimum_balanced_core","学科","材料","13","5.0%"
"minimum_balanced_core","学科","医学","10","3.8%"
"minimum_balanced_core","学科","化学","4","1.5%"
"minimum_balanced_core","学科","环境科学","3","1.2%"
"standard_balanced_core","功能用途","记录","77","42.8%"
"standard_balanced_core","功能用途","数据","40","22.2%"
"standard_balanced_core","功能用途","解释","38","21.1%"
"standard_balanced_core","功能用途","展示","21","11.7%"
"standard_balanced_core","功能用途","传播","2","1.1%"
"standard_balanced_core","功能用途","未标注","2","1.1%"
"standard_balanced_core","技术手段","拍摄","71","39.4%"
"standard_balanced_core","技术手段","绘设","40","22.2%"
"standard_balanced_core","技术手段","渲染","31","17.2%"
"standard_balanced_core","技术手段","数据","24","13.3%"
"standard_balanced_core","技术手段","成像","14","7.8%"
"standard_balanced_core","内容对象","机制模型","41","22.8%"
"standard_balanced_core","内容对象","科研人员","29","16.1%"
"standard_balanced_core","内容对象","科普传播","28","15.6%"
"standard_balanced_core","内容对象","实验设备","21","11.7%"
"standard_balanced_core","内容对象","微观样本","19","10.6%"
"standard_balanced_core","内容对象","数据结果","17","9.4%"
"standard_balanced_core","内容对象","空间环境","12","6.7%"
"standard_balanced_core","内容对象","团队场景","6","3.3%"
"standard_balanced_core","内容对象","实验过程","5","2.8%"
"standard_balanced_core","内容对象","单人肖像","1","0.6%"
"standard_balanced_core","内容对象","群体肖像","1","0.6%"
"standard_balanced_core","学科","物理","50","27.8%"
"standard_balanced_core","学科","生命科学","36","20.0%"
"standard_balanced_core","学科","综合交叉","35","19.4%"
"standard_balanced_core","学科","信息科学","16","8.9%"
"standard_balanced_core","学科","工程","14","7.8%"
"standard_balanced_core","学科","材料","11","6.1%"
"standard_balanced_core","学科","环境科学","8","4.4%"
"standard_balanced_core","学科","化学","5","2.8%"
"standard_balanced_core","学科","医学","5","2.8%"
